account_value,datadate,daily_return,Date
1000000.0,20160104,,2016-01-04
999543.5910651372,20160105,-0.00045640893486287304,2016-01-05
995912.9861488106,20160106,-0.0036322627134828256,2016-01-06
986419.277034238,20160107,-0.009532669265901128,2016-01-07
981544.1159628619,20160108,-0.0049422808179840905,2016-01-08
981903.6965567436,20160111,0.0003663417548267489,2016-01-11
986974.8272559831,20160112,0.005164590699701543,2016-01-12
964704.6449134364,20160113,-0.022564083426993786,2016-01-13
976763.4226560266,20160114,0.012499968571906495,2016-01-14
951526.4231176791,20160115,-0.025837371622416727,2016-01-15
953608.6309778657,20160119,0.002188281701483552,2016-01-19
940530.6049650413,20160120,-0.013714248789268746,2016-01-20
945944.6245342634,20160121,0.005756345982407929,2016-01-21
961175.2417606398,20160122,0.01610096070250977,2016-01-22
946746.965775014,20160125,-0.015011077438071285,2016-01-25
967396.7611616608,20160126,0.021811314039694496,2016-01-26
949431.2719584184,20160127,-0.01857096273680836,2016-01-27
957097.53848467,20160128,0.00807458817997242,2016-01-28
980465.6146501148,20160129,0.02441556395855171,2016-01-29
979088.0863568998,20160201,-0.0014049735887030623,2016-02-01
959848.3540653844,20160202,-0.019650665307454407,2016-02-02
973027.5609206158,20160203,0.013730509407461788,2016-02-03
979628.9805241142,20160204,0.006784411735729856,2016-02-04
964310.1622362031,20160205,-0.01563736740384647,2016-02-05
945401.944383515,20160208,-0.019608025086908287,2016-02-08
945251.4597607169,20160209,-0.00015917528379560952,2016-02-09
942670.804104442,20160210,-0.0027301260734663435,2016-02-10
920000.4796902034,20160211,-0.02404903632904587,2016-02-11
935520.354432652,20160212,0.01686942027212268,2016-02-12
955413.691777941,20160216,0.02126446234016277,2016-02-16
971950.4599746928,20160217,0.017308489860531795,2016-02-17
969144.9200688918,20160218,-0.0028865050445822105,2016-02-18
966000.7619611623,20160219,-0.003244260009644395,2016-02-19
980583.5809990305,20160222,0.01509607405304969,2016-02-22
968296.8776964946,20160223,-0.012529990855056017,2016-02-23
968462.2441241776,20160224,0.00017078070940024226,2016-02-24
983913.036567058,20160225,0.015953944035116407,2016-02-25
988039.1158882015,20160226,0.004193540656336703,2016-02-26
979773.9693441432,20160229,-0.008365201752795315,2016-02-29
1004714.7030754836,20160301,0.025455599466513323,2016-03-01
1002015.7741497931,20160302,-0.0026862639886018336,2016-03-02
1002103.8947686856,20160303,8.794334497097545e-05,2016-03-03
1006300.0725549656,20160304,0.004187368004640479,2016-03-04
1001661.8379121887,20160307,-0.004609196371218149,2016-03-07
994271.8338363688,20160308,-0.007377743462028352,2016-03-08
992274.2714575359,20160309,-0.0020090706694619875,2016-03-09
995205.2267569632,20160310,0.0029537753660811017,2016-03-10
1012893.1437116999,20160311,0.017773135107394422,2016-03-11
1015742.8280001484,20160314,0.0028134105815011967,2016-03-14
1013507.6142160957,20160315,-0.0022005705799110764,2016-03-15
1014257.9002200095,20160316,0.0007402864994696667,2016-03-16
1026357.0688817377,20160317,0.01192908495867151,2016-03-17
1044201.1456796408,20160318,0.017385837092100065,2016-03-18
1046330.1672660102,20160321,0.0020388998759273136,2016-03-21
1042758.485707782,20160322,-0.0034135320474997233,2016-03-22
1039215.239587522,20160323,-0.003397954721850116,2016-03-23
1033857.6844673792,20160324,-0.005155385444760463,2016-03-24
1033162.9799675638,20160328,-0.0006719537033507139,2016-03-28
1039599.1511323114,20160329,0.006229579736731994,2016-03-29
1039378.5983300237,20160330,-0.0002121517721974664,2016-03-30
1035824.3382096068,20160331,-0.0034196010251966724,2016-03-31
1045688.1904605542,20160401,0.009522707554831866,2016-04-01
1037410.4130055676,20160404,-0.007916104944573177,2016-04-04
1037410.4130055676,20160405,0.0,2016-04-05
1032291.3907492728,20160406,-0.004934423437551683,2016-04-06
1015745.7445570516,20160407,-0.01602807728563138,2016-04-07
1015441.7501107005,20160408,-0.0002992820279879016,2016-04-08
1020155.120786122,20160411,0.00464169478446963,2016-04-11
1029800.1870493806,20160412,0.00945450948266191,2016-04-12
1048724.9990156952,20160413,0.018377168895782114,2016-04-13
1050816.36628622,20160414,0.001994199883179837,2016-04-14
1044789.57129425,20160415,-0.005735345570672679,2016-04-15
1049205.8507369508,20160418,0.004226955900057616,2016-04-18
1060932.9049312805,20160419,0.011177076629998561,2016-04-19
1069180.6185201262,20160420,0.007774019969132739,2016-04-20
1064746.4411304635,20160421,-0.004147266900329849,2016-04-21
1064749.0418227622,20160422,2.4425461295773943e-06,2016-04-22
1059929.4987222857,20160425,-0.004526459204157507,2016-04-25
1065326.126905076,20160426,0.005091497301750403,2016-04-26
1067608.2297212004,20160427,0.0021421635670892947,2016-04-27
1052088.5378431042,20160428,-0.014536879209098186,2016-04-28
1049354.2623580021,20160429,-0.0025989024561636764,2016-04-29
1053968.3765255068,20160502,0.004397098609135508,2016-05-02
1045168.4212476871,20160503,-0.008349354187294988,2016-05-03
1034277.5322520495,20160504,-0.010420223931599804,2016-05-04
1036157.060445378,20160505,0.0018172377671550333,2016-05-05
1036980.0007100104,20160506,0.000794223478319811,2016-05-06
1033471.5698953931,20160509,-0.0033833157941475234,2016-05-09
